text,label
good wearing hat sunglass,0
timely shipment quality product,1
nice solid keyboard,1
well made fit surefire gx perfectly,1
horrible phone,0
bt battery junk,0
would recommend others,1
cant get software work computer,0
disappointed,0
poor voice clarity,0
battery work great,1
buyer remorse one,0
disappointed accessoryone,0
find inexcusable probably returning phone perhaps changing carrier,0
look great strong,1
tmobile service year pretty happy,1
update procedure difficult cumbersome,0
disappointment hate anything go ear,0
great software motorolas,1
delivery time,1
easy use,1
uncomfortable ear dont use lg vx env,0
volume switch rocketed unit destination unknown,0
hold charge long time reasonably comfortable longwearing condition quality sound tremendous,1
id like return,0
keyboard really worthwhile usefulness sturdy enough dont expect problem,1
verizons bill however difficult understand even though pricing plan simple,0
charging overnight battery work great,1
wont regret,1
love phone,1
disappointment,0
user friendly,0
unfortunately ability actually know receiving call rather important feature phone pitiful respect,0
exchanged phone even problem,0
result phone either stuck max volume mute,0
pda rock,1
super charged use small hybrid palmtopcameracellphone excels role,1
would definitely recommend jabra btv looking comfort clarity great price,1
verizon year ago really liked service,1
pretty piece junk,0
plug wrong size,0
work described,1
save money ive item month,0
bad purchase,0
well im satisfied,1
bose noise cancelling amazing important nyc commuter,1
battery excellent bargain,1
defective crap,0
would given star able,0
wear glass fit fine,1
sound quality device unacceptableunless really quiet area almost hear nothing,0
would recommend item anyone,0
holster arrived match photo ad,0
greatno problem,1
earlier review noted plug charger nothing happens,0
frog phone charm adorable eye catching,1
never know pushed hard enough right number time function want,0
sound clear people talk amazed quality,1
got aluminum case new palm vx worked really wellit protected handheld perfectly far,1
good product well made,1
mobile phone tool must,1
impressed job motorola sturdiness phone,1
received order well within shipping timeframe everything good working order overall excited source,1
phone sturdy waterproof,1
impressed would recommend item anyone,0
complaint standard sound volume little low even turned,0
thanks amazon thing need good price,1
ended sliding edge pant back pocket instead,1
go store bought new nokia phone working great,1
work great,1
really ugly,0
horrible switch time,0
noise shield incrediable,1
real improvement,0
razr battery good buy,1
keep good work amazon,1
refuse refund replace,0
unfortunately easy accidentally activate gentletouch button accidentally touch phone face listening,0
basically threw money window nothing,0
great case price,1
took one drop inch kitchen counter crackedi impressed laughing,0
bluetooth range good day ago left phone trunk got call carried conversation without hitch,1
small sleek impressive looking practical setup ample storage place,1
eargels channel sound directly ear seem increase sound volume clarity,1
none new one ever quite worked properly,0
glad purchased,1
ive missed numerous call reason,0
perhaps phone defective people cannot hear use,0
dont buy product,0
sucked stuff work phone,0
shifting bubbling peeling even scratch nothingi couldnt happier new one droid,1
worst software ever used could give zero star would,0
trying make call exercise frustration,0
case flimsy piece plastic front side protection whatsoever,0
jabra earset happy sound quality especially outgoing better,1
love camera really pretty good quality,1
thank great service,1
total package,1
seller understanding patient would definitely buy,1
give wirefly stari contact cingularatt inform practice,0
aggravating,0
great product price,1
purchased family friend enjoy clarity ease use,1
virgin wireless rock cheap little phone,1
none work dont buy,0
muddy low quality sound casing around wire insert poorly super glued slid,0
please dont waste money,0
im quite satisfied purchase,1
looking good quality motorola headset keep looking isnt,0
yet plantronincs continues use flawed charger design,0
disapointing result,0
cumbersome design,0
great new packaged nice work good problem came le time expected,1
great product,1
piece crap,0
experience terrible fourth bluetooth headset much comfortable last jabra hated,0
fix problem,1
worst ever,0
happy,1
ive trouble accessing internet downloading ringtones performing function,1
barely ever hear constantly saying,0
battery life highly unacceptable,0
company joke,0
everything description said would,1
due happening every call forced stop using headset,0
work great car charger especially cannot plug two adapter time,1
verizon tech support walked procedure none worked ended hard reset wiping data,0
voice quality signal strength dropped call,0
play louder speaker size price low would think quality lacking however,1
better expected,1
feel poorly constructed menu difficult navigate button recessed difficult push,0
battery holding well,1
also difficult put onid recommend avoiding product,0
used two day wasnt always easy hear,0
got car charger even week charger brokeni went plug started smoking,0
sprint terrible customer service,0
linked phone without effort,1
cool,1
easy use,1
better new,1
possesed get junk idea,0
piece trash,0
pretty good product,1
great phone,1
price amazon excellent product would highly recommend,1
research development division obviously know theyre,1
real killer volume course breaking,0
phone working fine,1
happy product,1
poor construction,0
infuriating,0
overall would recommend phone new walkman,1
sprint charge service,0
cheap feel look cheap,0
fit ear well comfortable,1
doesnt work europe asia,0
clipping belt deffinitely make feel like cent upandcoming,1
like design look jabra behing ear headset pretty comfortible wear hour day without pain ear,1
amazed quick arrival two original lg cell phone battery fraction price,1
worst phone samsungcrap crappy samsung e worst ever seeen,0
charger worked week completely stopped charging phone,0
poor product,0
however needed better instruction,0
need two hand operate screenthis software interface decade old cannot compete new software design,0
worked well paired treo w skype headset pc using usb bluetooth transceiver,1
steer clear product go genuine palm replacementr pen come threepack,0
buy buyit suck,0
great product sure beat using finger,1
plus seriously believe worth steep price point,0
case ive tried normally fall apart month one seems long haul,1
dissapointing performance,0
dont make mistake please dont buy phone,0
phone might well worst ive ever brand,0
case le extra originally put later discarded scratched ear,0
recommend igo anyone different brand cell phonesmp player family,1
dont bother go store,0
posted detailed comment grey black phone fire red great color,1
problem item would order needed,1
get pay guess,0
software great job could also make ringtones form existing cd without internet connection,1
im surprised good quality car charger there much review,1
fabulous,1
however bt headset currently good real time game like firstperson shooter since audio delay mess,0
used bitpim free program find internetto transfer data phonethe price cable excellent,1
disappointing accessory good manufacturer,0
performed awful muffled tinny incoming sound severe echo end call,0
windresistant,1
obviously terrible customer service get pay,0
last forever overly expensive replaceeasy operate sound much better others tried,1
contacted company told although unit still warranty couldnt produce receipt luck,0
linksys way exchange bad phone refurb unit something,0
phone sturdy nokia bar phone,1
great phone,1
placed treo case snug lot extra room side,0
im pleased,1
battery terrible,0
found product easy set use,1
earpiece large heavyit keep falling ear,0
utter crap sound quality terrible,0
charger arrived within promised timeframe work,0
ear loop needed tiny sound great,1
finally three four time spring latch broke could use longer visor,0
handsfree part work fine car try download address book treo rebootsoverall still rate device high,1
talk useless customer service,0
felt light tinny,0
fit palm tungsten e broke first time tried plug,0
im happy purchase good quality low price,1
love look feel samsung flipphones,1
welldesigned sharp blue nice color,1
everything,1
could recommend,0
nice sound,1
look good picture case huge disappointment,0
much le jawbone going replace,1
setup went smoothly,1
extremely slow take forever anything,0
must study anyone interested worst sin industrial design,0
first thing happened tracking,0
well made easy access phone handy detachable belt clip,1
continue pairing periodically since somehow kept dropping,0
cant upload ringtones third party,0
bluetooth work phone lock screen flash make call randomly pocket locked,0
truly awful,0
work fine motorola cellphone lot better wornout battery,1
volume ringer real good choice loud,1
none tone acceptable,0
camera color balance awful,0
product clearly ready prime time dont care cool look cant tell call coming worthless,0
love ringtones upbeat,1
chinese forgery abound,0
easy pair samsung cell,1
instruction didnt explain microphone jack could used,0
would advise purchase item never worked well,0
bad pay month service,0
work well,1
nokia ca usb cable work phone,0
clear crisp sound,1
use smallest earpiece provided stay pretty well,1
biggest complaint battery drain superfast,0
design might ergonomic theory could stand ear,0
buy want use holster,0
phone also take great picture even video clip,1
doesnt make look cool,0
ear occupied background distracting,1
comfortable fit need headset comfortable least hour time entire day,1
also phone doesnt seem accept anything except cbr mp preferably ripped window medium player,0
cant beat price,1
come strong light use light camera shot even flash so signal seriously,1
lightweight work well,1
beware,0
love cable allows connect miniusb device pc,1
anyone near hear part conversation,0
cool case open allowing screen get scratched,1
bought phone replacement startac regretted since,0
appears actually outperform original battery china came vi,1
cant store anything phone number sim,0
last le minute actually try use phonemy wife phone problem,0
poor quality,0
jabra ear gel r best,1
worth,0
phone crashed completely get replaced,0
quit working id used month purchased another one best headset ive ever owned,1
unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc,0
great phone,1
simply want small flip phone look elsewhere extra bell whistle mediocre,0
good value work fine power via usb car wall outlet,1
phone doesnt slide around car grip prevents phone slipping hand,1
simply best bluetooth headset sound quality,1
think plan onethis sure last moto phone,0
span hour two people exclaim whoa new phone tv,1
always used corded headset freedom wireless helpful,1
case passed one year mark show sign wear functional,1
leather nice soft fit tight cut face good shape,1
everything need couldnt ask,1
receiving using product day broke,0
product great make working lot easier go copier waiting hold something,1
none three size sent headset would stay ear,0
tmobile best customer service anywhere,1
arrived quickly much le expensive others sold,1
tried unit failed within month pro,0
provides good protection look classy,1
krussel always good,1
tracfonewebsite user friendly make easy toactivate etc,1
design good,1
great reception time,1
would highly recommend product,1
couldnt use unit sunglass good texas,0
dit work time nokia,0
bought mainly charger broke soon purchasing,0
like loud buzzing override conversation phone,0
fantastic buy get whatever next phone,1
stay away store careful,0
blueant supertooth handsfree phone speaker awesome,1
fit,0
item arrived quickly work great metro pc samsung schr slider phone sony premium sound ear plug,1
light plenty battery capacity confortable wear somewhat extended period time,1
disappointing,0
blue ant easy use,1
cheap hey work pleasantly suprised given low cost item,1
camera phone may used dustpan indoors id rather using disposable,0
day later puff smoke came phone use,0
convenient simple use get job done make car ride much smoother,1
nano stated itmy son dissapointed,0
sound quality excellent well,1
best headset used,1
would reccommend,0
around year carry highest quality antiglare screen protector found date,1
wanted,1
particular model would work motorola q smartphone,0
wont work right atleast,0
addition feel amp look phone lightweight cheap plastic,0
warranty problem reoccurebottom line put money somewhere else cingular support,0
really wanted plantronics right one many issue methe good,0
great product,1
crisp clear,1
first charge kept going dead minute,0
cheap plastic creak like old wooden floor,0
get absolutely horrible reception apartment phone problem,0
reception generally good,1
excellent sound battery life inconspicuous boot,1
great bluetooth,1
highly recommend case,1
worthwhile,1
great deal,1
phone got year old slowly breaking despite much care part,0
sorry made purchase,0
bought hoping could make bluetooth headset fit better thing made impossible wear,0
treo tmobile refused replace forced buy another phone without kind upgrade discount,0
horrible,0
dont think would hold securly belt,0
allows possibility double booking date time first,0
work week break,0
simple use like,1
great tool entertainment communication data managementoh sure use activesync optimal data synchronization result,1
cant use case smell disgusting,0
wanted,0
case would order another,1
great phone,1
bought battery coupon amazon im happy purchase,1
internet access fine rare instance worked,0
perfect p,1
five star plus plus,1
good quality bargain bought bought cheapy big lot sounded awful people end couldnt hear,1
drain,0
tried talking real loud shouting telephone get old still told wasnt great,0
good work fine,1
price great deal,1
great price,1
wind completely useless,0
yes shiny front side love,1
work,0
first thought grtting good deal plugged phone vc razr,0
reception headset excellent,1
thumb seller,1
verizon lg phone work well together good reception range exceeds foot line sight,1
improper description return,0
work comfortable,1
battery chargelife quite long,1
jabra eargels fit ear well,1
battery life,0
checked everywhere feature really disappointing,0
product exactly described,1
get signal verizon phone wont,1
doesnt job,0
would recommend,1
plan ordering,1
said phone camera nice many cool effect play video decent well,1
satisfied cell phone day one,1
keep getting better better third one ive numerous palm,1
awkward use unreliable,0
shipping time also quick,1
good hoped,0
good case,1
doesnt work,0
really good product,1
unfortunately work,0
three broke within two month use,0
dont buy,0
father v battery dying,0
however ear pad come easily one week lost one,0
call drop phone come screen go black worst stop ringing intermittently,0
horrible horrible protector,0
dont like nokia either,0
reaching bottom row uncomfortable send end key expect,0
bought nokia cell phone week ago nightmare,0
would take long describe bad customer service experience amazon,0
disappointing thing speakerphone,0
terrible car accept cassette,0
product useless since enough charging current charge cellphone planning use,0
say,0
stay away q,0
used dirty,0
unreliable service tmobile,0
good enough price,0
bought two neither charge,0
look nice,1
excellent tool especially paired phone autoanswer,1
read others review havent problem,1
product cover important light sensor ear outlet,0
comfortable hand,1
work,0
poor reliability,0
work,1
take picture battery drop bar start beeping letting know dieing,0
terrible product waste money,0
last time buying,0
waste money,0
far worked like charm,1
week far good,1
case best part download picture laptop using ir even send picture laptop phone,1
would recommend item,1
choice headset yearsgreat sound good volume good noise cancellation,1
nice case feel good hand,1
item received counterfeit,0
really good far probably best bt headset ever,1
work fine,1
received headset good time happy,1
pleased see could replace well travled swivel holster blackberry flip,1
sister one also love,1
good quality,1
far worst purchase ive made amazon,0
excellent dualpurpose headset,1
excellent,1
work listening music cingular,0
seems completely secure holding belt keeping iphone inside,1
bottowm lineanother worthless cheap gimmick sprint,0
trouble volume,0
good thing fit comfortably small ear,1
warning buy,0
pairing iphone could happier far,1
open battery connection broken device turned,0
didnt want clip going top ear causing discomfort,0
best headset ever,1
dont trust website dont expect helpful support,0
loudglad say plantronics maintains flawless connection cell static normal use,1
speaker low quality making ring tone sound cheap,0
fit comfortably came three size earbud tip,1
excellent product price,1
bad reception,0
product high quality chinese crap,0
quite comfortable ear,1
great phone,1
dont buy product fails,0
everything product wrongfirst,0
pairing two device easy barely took couple minute started making call voice dialing feature,1
utterly confusing first caused lose couple important contact,0
terrible phone holder,0
cutout button placed perfectly,1
love able use one headset landline cell,1
problem ear loop made weak material break easily,0
nearly good looking amazon picture make look,0
despite flaw case exceptional quality well worth additional cost owning official oem product,1
stupid,0
hear im driving car usually dont even put loudest setting,1
seller shipped quickly much cheaper competitor,1
good show samsung,1
bought saved alot money,1
always cut make beep beep beep sound say signal failed,0
couldnt figure,0
phone sounded ok great ok wife phone almost totally unintelligible couldnt understand word said,0
take battery phone put back together restart,0
managed bend leaf spring back place metal enough stress break next drop,0
leopard print wonderfully wild,1
work,1
saggy floppy piece junk,0
much better hard plastic case,1
also new problem,0
happy far,1
cool phone,1
work good,1
motorola finally got voice quality bluetooth headset right,1
loos connection phone even within couple foot two,0
great would really recommend,1
make easier keep bluetooth im wearing,0
said abovepretty useless,0
never got,0
pair headphone worst ever soundwise,0
drain weak snap,0
charge cingular att phone,0
get extra minute carry call get cut,1
however year fliptop started get loose wobbly eventually screen went black couldnt receive place call,0
kept catching cable seat pull phone turn,0
headset fulfills requirement happy purchase,1
logitech bluetooth headset,1
like fact rest lightly ear rather inside,1
lot website rating good phone,1
tried cable computer ipod work fine,1
mic joke volume quite low,0
im returning,0
maintain connection computer lap,0
easy turn car volume control quite accessable,1
mine year christmas bought rest family,1
otherwise easy install use clear sound,1
nice leather,1
purchase different case,0
joy use,1
much disappointed company,0
satisifed,1
didnt charge,0
phone get bought sa say wow,1
button small,0
reading spec alone make say wow,1
love great armband,1
really like product motorola allot clearer ear piece mic,1
however keypad tinny sometimes reach wrong button,0
exchanged sony ericson za im pretty happy decision,1
impressed price case,1
also make easier hold,1
use product motor control center lot high voltage humming equipment work great,1
pretty easy,1
cannot make call certain place,0
however girl complain time phone doesnt wake like normal phone,0
beautiful styling though,1
company charge restocking fee still given refund back,0
im trying return refund,0
plugged find darn thing worked,0
excellent product,1
earbud piece break easily,0
lousy product,0
phone try hard everything fails ability phone,0
best charger seen market yet,1
sweetest phone,1
oh charger seems work fine,1
fit securely ear hook even need used sound better directed ear canal,1
enough volume,0
echo problemvery unsatisfactory,0
could take video time quality poor,0
dont waste money,0
going first negatively review product,0
adapter provide enough charging current,0
much hype phone assumed best mistake,0
also cannot take picture case lense covered,0
phone fall easily,0
didnt work people hear talk,0
text messaging feature really tricky use,0
im really disappointed charger doesnt work,0
painful ear,0
lasted one day blew,0
disappointed,0
kind flop around,0
screen get smudged easily touch ear face,0
piece junk lose call phone,0
item match picture,0
thing disappoint infra red port irda,0
answer call unit never worked,0
slowmoving aimless movie distressed drifting young man,0
sure lost flat character audience nearly half walked,0
attempting artiness black white clever camera angle movie disappointed became even ridiculous acting poor plot line almost nonexistent,0
little music anything speak,0
best scene movie gerardo trying find song keep running head,1
rest movie lack art charm meaning emptiness work guess empty,0
wasted two hour,0
saw movie today thought good effort good message kid,1
bit predictable,0
loved casting jimmy buffet science teacher,1
baby owl adorable,1
movie showed lot florida best made look appealing,1
song best muppets hilarious,1
cool,1
right case movie delivers everything almost right face,1
average acting main person low budget clearly see,0
review long overdue since consider tale two sister single greatest film ever made,1
ill put gem movie term screenplay cinematography acting postproduction editing directing aspect filmmaking,1
practically perfect  true masterpiece sea faux masterpiece,1
